"","...1","id_play","Week","game_id","pos_team","def_pos_team","pos_team_score","def_pos_team_score","kicker_player_name","yds_fg","pts_scored","fgm","fga","fg_make_prob","fg_inds","FG_before","play_text","EPA","wpa","half","period","clock.minutes","clock.seconds","down","distance","yards_to_goal","fg_made","play_type"
"469",469,401405080103865280,2,401405080,"Penn State","Ohio",26,7,"Jake Pinegar",42,0,0,1,0.63737112952654,1,0.676881112368589,"Jake Pinegar 42 yd FG MISSED",-1.37391914162264,-0.0020192,2,3,13,46,4,8,25,FALSE,"Field Goal Missed"
"470",470,401405080104934912,2,401405080,"Ohio","Penn State",10,46,"Nathanial Vakos",21,3,1,1,0.935497140534419,1,0.93869130678327,"Nathanial Vakos 21 Yd Field Goal",0.306243378795225,0.0003093,2,4,6,50,4,3,4,TRUE,"Field Goal Good"
"471",471,401405081102928512,2,401405081,"Rutgers","Wagner",28,7,"Jude McAtamney",32,0,0,1,0.802171025258863,1,0.817654378667752,"Jude McAtamney 32 yd FG MISSED",-2.18484767202339,-0.0001282,1,2,7,14,4,9,15,FALSE,"Field Goal Missed"
"472",472,401405081102956800,2,401405081,"Rutgers","Wagner",31,7,"Jude McAtamney",49,3,1,1,0.505448138230005,1,0.528729351172478,"Jude McAtamney 49 yd FG GOOD",1.99351472029017,0.0078969,1,2,4,31,4,7,32,TRUE,"Field Goal Good"
"473",473,401411102101924096,2,401411102,"Furman","Clemson",3,7,"Axel Lepvreau",30,3,1,1,0.831930173180296,1,0.849468332598614,"Axel Lepvreau 30 yd FG GOOD",0.695626542422792,0.0154513,1,1,7,58,4,5,13,TRUE,"Field Goal Good"
"474",474,401411102103995072,2,401411102,"Furman","Clemson",12,35,"Axel Lepvreau",30,3,1,1,0.831930173180296,1,0.84467844065056,"Axel Lepvreau 30 yd FG GOOD",0.90201016126805,0.0021983,2,3,0,48,4,9,13,TRUE,"Field Goal Good"
"475",475,401411103101954112,2,401411103,"Georgia State","North Carolina",3,7,"Michael Hayes",45,3,1,1,0.58355174014756,1,0.613339714001699,"Michael Hayes 45 Yd Field Goal",2.28550752815356,0.1250265,1,1,4,58,4,9,28,TRUE,"Field Goal Good"
"476",476,401411103102998272,2,401411103,"Georgia State","North Carolina",10,21,"Michael Hayes",44,0,0,1,0.601806172147826,1,0.607503051183033,"Michael Hayes 44 yd FG BLOCKED blocked by",-1.37424898046858,-0.0149776,1,2,0,16,4,6,27,FALSE,"Blocked Field Goal"
"477",477,401411103103897984,2,401411103,"Georgia State","North Carolina",20,21,"Michael Hayes",45,3,1,1,0.58355174014756,1,0.616577558922983,"Michael Hayes 45 yd FG GOOD",2.16388170238136,0.0660712,2,3,10,19,4,9,28,TRUE,"Field Goal Good"
"478",478,401411104104887808,2,401411104,"Western Carolina","Georgia Tech",17,35,"Richard McCollum",44,3,1,1,0.601806172147826,1,0.62179136435711,"Richard McCollum 44 yd FG GOOD",2.38453833901132,0.0048872,2,4,11,21,4,20,27,TRUE,"Field Goal Good"
